[2025-11-03 16:26:21,945] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-03 16:26:41,043] INFO [myapp:28] new_customer_to_delivery_area started
[2025-11-03 16:26:43,910] INFO [myapp:98] Email send sucessfully
[2025-11-03 16:26:43,915] INFO [django.server:213] "POST /v1/customers/ HTTP/1.1" 201 0
[2025-11-03 16:42:53,699] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\Email\views.py changed, reloading.
[2025-11-03 16:42:55,626] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-03 16:42:59,869] INFO [django.utils.autoreload:265] D:\REACTNATIVE\Django_DeliveryApp\backend\myapp\Email\views.py changed, reloading.
[2025-11-03 16:43:02,621] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-03 16:46:04,553] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 149046
[2025-11-03 18:15:54,366] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 149046
[2025-11-03 18:16:32,793] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 149046
[2025-11-18 18:43:14,084] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-19 11:56:20,246] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-19 11:56:53,296] WARNING [django.request:253] Not Found: /
[2025-11-19 11:56:53,297] WARNING [django.server:213] "GET / HTTP/1.1" 404 2302
[2025-11-19 11:56:53,594] WARNING [django.request:253] Not Found: /favicon.ico
[2025-11-19 11:56:53,596] WARNING [django.server:213] "GET /favicon.ico HTTP/1.1" 404 2353
[2025-11-19 11:56:59,867] INFO [django.server:213] "GET /v1 HTTP/1.1" 301 0
[2025-11-19 11:56:59,982] INFO [django.server:213] "GET /v1/ HTTP/1.1" 200 5451
[2025-11-19 11:57:00,078] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
[2025-11-19 11:57:00,080] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2025-11-19 11:57:00,125] INFO [django.server:213] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2025-11-19 11:57:00,128] INFO [django.server:213] "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2025-11-19 11:57:00,161] INFO [django.server:213] "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
[2025-11-19 11:57:00,180] INFO [django.server:213] "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
[2025-11-19 11:57:00,226] INFO [django.server:213] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-11-19 11:57:00,263] INFO [django.server:213] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[2025-11-19 11:57:00,294] INFO [django.server:213] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2025-11-19 11:57:00,320] INFO [django.server:213] "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[2025-11-19 11:57:00,342] INFO [django.server:213] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
[2025-11-19 11:57:00,361] INFO [django.server:213] "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
[2025-11-19 11:57:08,998] INFO [django.server:213] "GET /v1/customers HTTP/1.1" 301 0
[2025-11-19 11:57:09,539] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 149046
[2025-11-28 12:13:25,418] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2025-11-28 12:13:56,186] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60580
[2025-11-28 12:13:56,554] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60580
[2025-11-28 12:14:18,719] INFO [django.server:213] "OPTIONS /v1/customers/169/ HTTP/1.1" 200 0
[2025-11-28 12:14:18,840] INFO [django.server:213] "DELETE /v1/customers/169/ HTTP/1.1" 204 0
[2025-11-28 12:14:26,583] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-11-28 12:14:26,941] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-11-28 12:16:40,203] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-11-28 12:23:55,956] INFO [django.server:213] "GET /v1/customers/ HTTP/1.1" 200 60131
[2025-11-28 12:47:27,716] WARNING [django.request:253] Not Found: /
[2025-11-28 12:47:27,813] WARNING [django.server:213] "GET / HTTP/1.1" 404 2302
[2025-11-28 12:47:30,459] WARNING [django.request:253] Not Found: /favicon.ico
[2025-11-28 12:47:30,547] WARNING [django.server:213] "GET /favicon.ico HTTP/1.1" 404 2353
[2025-11-28 12:47:34,752] INFO [django.server:213] "GET /v1/ HTTP/1.1" 200 5451
[2025-11-28 12:47:34,899] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
[2025-11-28 12:47:34,905] INFO [django.server:213] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2025-11-28 12:47:34,927] INFO [django.server:213] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2025-11-28 12:47:34,945] INFO [django.server:213] "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2025-11-28 12:47:34,966] INFO [django.server:213] "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
[2025-11-28 12:47:34,977] INFO [django.server:213] "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
[2025-11-28 12:47:35,106] INFO [django.server:213] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-11-28 12:47:35,111] INFO [django.server:213] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[2025-11-28 12:47:35,129] INFO [django.server:213] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2025-11-28 12:47:35,138] INFO [django.server:213] "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[2025-11-28 12:47:35,162] INFO [django.server:213] "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
[2025-11-28 12:47:35,172] INFO [django.server:213] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
[2025-11-28 12:47:58,119] INFO [django.server:213] "GET /v1/month_wise_customer_analytics HTTP/1.1" 301 0
[2025-11-28 12:47:58,838] INFO [django.server:213] "GET /v1/month_wise_customer_analytics/ HTTP/1.1" 200 5493
[2025-11-28 12:48:15,975] INFO [django.server:213] "GET /v1/month_wise_customer_analytics/ HTTP/1.1" 200 5493
[2025-11-28 12:51:05,569] INFO [django.server:213] "GET /v1/delivery_area_based_customers HTTP/1.1" 301 0
[2025-11-28 12:51:05,827] INFO [django.server:213] "GET /v1/delivery_area_based_customers/ HTTP/1.1" 200 143205
[2025-11-28 12:51:46,206] INFO [django.server:213] "GET /v1/delivery_area_based_customers?excel=true HTTP/1.1" 301 0
[2025-11-28 12:51:46,440] INFO [django.server:213] "GET /v1/delivery_area_based_customers/?excel=true HTTP/1.1" 200 19604
